nao-doi:10.3390/ijerph230505#000	no_relationship
nao-doi:10.3390/antibiotics1#001	no_relationship
nao-doi:10.1128/spectrum.041#002	no_relationship
nao-doi:10.1016/j.aninu.2025#003	no_relationship
nao-arxiv:2505.10556#004	no_relationship
nao-arxiv:1706.08652#005	conditional_causal
nao-arxiv:2502.07535#006	direct_causal
nao-arxiv:1406.1219#007	no_relationship
nao-doi:10.18502/jad.v19i4.2#008	no_relationship
nao-doi:10.3390/epidemiologi#009	no_relationship
nao-arxiv:2605.04117#010	no_relationship
nao-doi:10.1016/j.crpvbd.202#011	conditional_causal
nao-doi:10.1210/jcemcr/luag1#012	no_relationship
nao-doi:10.1080/19490976.202#013	no_relationship
nao-doi:10.1016/j.envres.202#014	no_relationship
nao-doi:10.1186/s13071-025-0#015	conditional_causal
nao-arxiv:1902.06026#016	no_relationship
nao-arxiv:1909.06415#017	no_relationship
nao-arxiv:0812.2728#018	no_relationship
nao-doi:10.2147/nss.s568569#019	no_relationship
nao-doi:10.1007/s11325-026-0#020	conditional_causal
nao-doi:10.1080/07420528.202#021	correlational
nao-arxiv:1903.03486#022	no_relationship
nao-doi:10.2987/25-7254#023	conditional_causal
nao-doi:10.4081/monaldi.2026#024	no_relationship
nao-doi:10.1007/s40201-026-0#025	no_relationship
nao-arxiv:2603.24460#026	no_relationship
nao-arxiv:2301.00440#027	direct_causal
nao-doi:10.1017/ash.2026.104#028	no_relationship
nao-doi:10.1177/117863022614#029	no_relationship
nao-doi:10.3390/tropicalmed1#030	direct_causal
nao-arxiv:2601.06792#031	no_relationship
nao-doi:10.1109/jbhi.2025.36#032	no_relationship
nao-arxiv:2101.06136#033	no_relationship
nao-arxiv:1912.03412#034	no_relationship
nao-doi:10.3390/nu18101523#035	conditional_causal
nao-arxiv:2511.04276#036	conditional_causal
nao-doi:10.1128/aem.00788-26#037	correlational
nao-doi:10.1007/s11033-026-1#038	conditional_causal
nao-arxiv:1005.0776#039	no_relationship
nao-arxiv:1907.03807#040	correlational
nao-doi:10.1016/j.socscimed.#041	direct_causal
nao-doi:10.3390/foods1511186#042	direct_causal
nao-doi:10.1371/journal.pntd#043	no_relationship
nao-arxiv:1303.3842#044	no_relationship
nao-arxiv:2209.07718#045	no_relationship
nao-doi:10.1186/s12887-025-0#046	no_relationship
nao-doi:10.1016/j.envres.202#047	correlational
nao-arxiv:1505.06249#048	conditional_causal
nao-doi:10.3390/nu18091412#049	direct_causal
nao-doi:10.1136/bmjph-2025-0#050	no_relationship
nao-doi:10.1016/j.obpill.202#051	no_relationship
nao-doi:10.21203/rs.3.rs-794#052	no_relationship
nao-arxiv:1709.01852#053	direct_causal
nao-doi:10.3390/s26041118#054	direct_causal
nao-doi:10.1113/jp288932#055	direct_causal
nao-doi:10.1128/msystems.001#056	no_relationship
nao-arxiv:2207.08165#057	no_relationship
nao-doi:10.14202/vetworld.20#058	no_relationship
nao-arxiv:2207.01910#059	direct_causal
nao-doi:10.1016/j.envpol.202#060	direct_causal
nao-doi:10.3390/antibiotics1#061	conditional_causal
nao-doi:10.1016/j.ijheh.2026#062	direct_causal
nao-doi:10.1128/cmr.00088-26#063	direct_causal
nao-arxiv:1710.07319#064	conditional_causal
nao-doi:10.1016/j.scitotenv.#065	no_relationship
nao-doi:10.46234/ccdcw2026.1#066	direct_causal
nao-doi:10.1128/aem.00645-26#067	correlational
nao-arxiv:2202.13496#068	direct_causal
nao-doi:10.1016/j.yebeh.2026#069	conditional_causal
nao-doi:10.1093/nutrit/nuag0#070	no_relationship
nao-arxiv:1303.4429#071	direct_causal
nao-doi:10.12182/20260560605#072	direct_causal
nao-arxiv:2601.17149#073	no_relationship
nao-doi:10.3389/fphys.2025.1#074	direct_causal
nao-doi:10.1038/s41598-026-5#075	direct_causal
nao-arxiv:1904.11058#076	conditional_causal
nao-doi:10.1038/s44276-026-0#077	no_relationship
nao-arxiv:2604.18345#078	direct_causal
nao-doi:10.3389/fmicb.2026.1#079	direct_causal
nao-doi:10.1371/journal.pntd#080	conditional_causal
nao-doi:10.1007/s40279-025-0#081	no_relationship
nao-doi:10.52082/jssm.2026.4#082	direct_causal
nao-arxiv:1007.1383#083	direct_causal
nao-doi:10.1093/inteam/vjag1#084	conditional_causal
nao-doi:10.1038/s41390-026-0#085	no_relationship
nao-arxiv:2508.11682#086	no_relationship
nao-arxiv:1804.02436#087	conditional_causal
nao-doi:10.1002/advs.75874#088	no_relationship
nao-arxiv:1807.03475#089	no_relationship
nao-doi:10.1053/j.ajkd.2025.#090	no_relationship
nao-doi:10.2340/aos.v85.4606#091	no_relationship
nao-doi:10.1016/j.jpsychores#092	no_relationship
nao-doi:10.3390/cancers18132#093	conditional_causal
nao-doi:10.3390/microorganis#094	no_relationship
nao-arxiv:2302.02110#095	no_relationship
